Vx (Odom), Time (Odom), Vx (Command), Time (Command)
0.075,	0.210344,	1.24e-07,	2.48e-07
0.112775,	0.235136,	0.00362988,	0.00725981
0.127308,	0.26031,	0.00862658,	0.017254
0.136887,	0.28514,	0.0136271,	0.0272576
0.151233,	0.310143,	0.0187488,	0.0375065
0.160732,	0.335182,	0.0236211,	0.0472598
0.174869,	0.360325,	0.028736,	0.0575038
0.184259,	0.385142,	0.0336034,	0.0672575
0.198102,	0.410524,	0.0387175,	0.0775125
0.207356,	0.435143,	0.0436384,	0.087388
0.220752,	0.460115,	0.0485855,	0.0973246
0.229679,	0.485168,	0.053527,	0.10726
0.242906,	0.510098,	0.0585113,	0.117291
0.251646,	0.535131,	0.0634717,	0.127287
0.264461,	0.560176,	0.0684241,	0.137279
0.272896,	0.585148,	0.0733846,	0.147301
0.285308,	0.610621,	0.0784157,	0.157482
0.293638,	0.635148,	0.0832565,	0.167292
0.305522,	0.660092,	0.0881813,	0.17729
0.313356,	0.685184,	0.0930828,	0.187258
0.324881,	0.710141,	0.0980082,	0.197294
0.332462,	0.735094,	0.102936,	0.207355
0.343564,	0.760373,	0.107777,	0.21726
0.350748,	0.785129,	0.112775,	0.227507
0.361221,	0.810129,	0.117518,	0.237255
0.368112,	0.835139,	0.122386,	0.247284
0.378039,	0.860261,	0.127308,	0.257451
0.384507,	0.885148,	0.132044,	0.267259
0.393909,	0.910339,	0.136887,	0.277315
0.399995,	0.935152,	0.14166,	0.287255
0.408819,	0.960185,	0.146452,	0.297262
0.41449,	0.985113,	0.151233,	0.307278
0.422685,	1.01033,	0.15602,	0.317339
0.427942,	1.03518,	0.160732,	0.327275
0.435561,	1.06037,	0.165472,	0.337305
0.440383,	1.08514,	0.170165,	0.347267
0.447243,	1.11051,	0.174869,	0.357292
0.451699,	1.13515,	0.179545,	0.367292
0.45786,	1.1603,	0.184259,	0.377414
0.461787,	1.18514,	0.188847,	0.387304
0.467327,	1.21046,	0.193447,	0.39726
0.47079,	1.23515,	0.198102,	0.407378
0.475674,	1.26026,	0.202628,	0.417259
0.478629,	1.28512,	0.207356,	0.427626
0.482738,	1.3101,	0.211743,	0.437291
0.485266,	1.33516,	0.21625,	0.447263
0.488645,	1.36026,	0.220752,	0.457275
0.490679,	1.38514,	0.225226,	0.467272
0.493329,	1.41043,	0.229679,	0.477272
0.494858,	1.4352,	0.234108,	0.487271
0.496781,	1.46014,	0.238511,	0.497264
0.497824,	1.48515,	0.242906,	0.507291
0.498993,	1.51037,	0.247264,	0.517293
0.499533,	1.53515,	0.251646,	0.527405
0.499955,	1.56027,	0.255941,	0.537373
0.499989,	1.58514,	0.260206,	0.547334
0.499667,	1.61047,	0.264461,	0.55733
0.499193,	1.63515,	0.268678,	0.567299
0.498124,	1.66027,	0.272896,	0.577334
0.497161,	1.68514,	0.277043,	0.587264
0.495351,	1.71028,	0.281204,	0.597294
0.493892,	1.73515,	0.285308,	0.607256
0.49132,	1.76026,	0.289414,	0.617291
0.489365,	1.78514,	0.293638,	0.627689
0.486085,	1.81043,	0.297507,	0.637282
0.483604,	1.83514,	0.30151,	0.647282
0.479602,	1.86015,	0.305522,	0.657378
0.476679,	1.88514,	0.309428,	0.667285
0.471964,	1.91041,	0.313356,	0.677327
0.468568,	1.93515,	0.317231,	0.687313
0.463091,	1.96027,	0.32107,	0.697286
0.459232,	1.98514,	0.324881,	0.70727
0.453117,	2.01034,	0.328678,	0.717304
0.448742,	2.03515,	0.332462,	0.727391
0.441956,	2.06027,	0.336233,	0.737536
0.43719,	2.08514,	0.339815,	0.747259
0.429759,	2.11025,	0.343564,	0.757529
0.424562,	2.13516,	0.347081,	0.767256
0.416441,	2.1602,	0.350748,	0.777494
0.41079,	2.1851,	0.354211,	0.787259
0.402101,	2.21023,	0.357736,	0.797298
0.396073,	2.23513,	0.361221,	0.807326
0.386725,	2.26033,	0.364647,	0.817291
0.380255,	2.28513,	0.368112,	0.827475
0.370396,	2.31014,	0.371416,	0.837292
0.363621,	2.3351,	0.374757,	0.847328
0.353054,	2.36027,	0.378039,	0.857299
0.345963,	2.38511,	0.38128,	0.867262
0.335032,	2.41051,	0.384507,	0.877298
0.327429,	2.43515,	0.387674,	0.887267
0.316016,	2.46021,	0.390812,	0.897266
0.308118,	2.48512,	0.393909,	0.907259
0.29632,	2.51025,	0.396981,	0.917299
0.28805,	2.53517,	0.399995,	0.927277
0.275755,	2.56025,	0.402971,	0.937266
0.267357,	2.58517,	0.405926,	0.947319
0.254633,	2.61022,	0.408819,	0.957297
0.245887,	2.63514,	0.411673,	0.967281
0.232766,	2.66024,	0.41449,	0.97728
0.22387,	2.68515,	0.417261,	0.987266
0.210346,	2.71052,	0.419995,	0.997264
0.201152,	2.73516,	0.422685,	1.00726
0.187362,	2.76037,	0.425345,	1.0173
0.177973,	2.7851,	0.427942,	1.02726
0.16401,	2.81011,	0.430579,	1.03754
0.154408,	2.83509,	0.433113,	1.0476
0.140239,	2.86031,	0.435561,	1.05748
0.130445,	2.88513,	0.437942,	1.06726
0.116098,	2.91044,	0.440383,	1.07748
0.106163,	2.9351,	0.442678,	1.08726
0.0914593,	2.96029,	0.44499,	1.0973
0.0816047,	2.98514,	0.447243,	1.10728
0.0669638,	3.01024,	0.449453,	1.11727
0.057047,	3.03515,	0.451699,	1.12763
0.0421149,	3.06025,	0.453744,	1.13726
0.0320657,	3.08511,	0.455862,	1.14746
0.0171594,	3.11024,	0.45786,	1.1573
0.00713041,	3.13515,	0.45984,	1.16726
-0.00783435,	3.16026,	0.461787,	1.1773
-0.0180023,	3.1851,	0.463674,	1.18726
-0.0328117,	3.21014,	0.465544,	1.19739
-0.042791,	3.23514,	0.467327,	1.20729
-0.0577654,	3.26026,	0.469077,	1.21726
-0.0678016,	3.28518,	0.47079,	1.22729
-0.0824578,	3.3101,	0.472451,	1.23729
-0.0924234,	3.33515,	0.474059,	1.24726
-0.107077,	3.36027,	0.475674,	1.25758
-0.116925,	3.38514,	0.477143,	1.26726
-0.131278,	3.41015,	0.478629,	1.27737
-0.140935,	3.43514,	0.480036,	1.28726
-0.155226,	3.46029,	0.48144,	1.29748
-0.164766,	3.48513,	0.482738,	1.30726
-0.178788,	3.51017,	0.484017,	1.31727
-0.188094,	3.53513,	0.485266,	1.32743
-0.201903,	3.56027,	0.486428,	1.33727
-0.211173,	3.58511,	0.487596,	1.34759
-0.224511,	3.61026,	0.488645,	1.35727
-0.233402,	3.63514,	0.48968,	1.36727
-0.246574,	3.66013,	0.490679,	1.3774
-0.255272,	3.68514,	0.491603,	1.38727
-0.26801,	3.71023,	0.492507,	1.39746
-0.276497,	3.73514,	0.493329,	1.40727
-0.28878,	3.76026,	0.494119,	1.41727
-0.297005,	3.78514,	0.494858,	1.42726
-0.3088,	3.81026,	0.495551,	1.43729
-0.31671,	3.83513,	0.496191,	1.44728
-0.328075,	3.86024,	0.496781,	1.45727
-0.335595,	3.88517,	0.497323,	1.46726
-0.346527,	3.91012,	0.497824,	1.47747
-0.353788,	3.93513,	0.498256,	1.48726
-0.364102,	3.96032,	0.498653,	1.49738
-0.370891,	3.98513,	0.498993,	1.50731
-0.380803,	4.01025,	0.499285,	1.5173
-0.387235,	4.0351,	0.499533,	1.52759
-0.396556,	4.06039,	0.499719,	1.5373
-0.402502,	4.08513,	0.499866,	1.54762
-0.411215,	4.1101,	0.499955,	1.55744
-0.416881,	4.13514,	0.499997,	1.56731
-0.424931,	4.16027,	0.499989,	1.57737
-0.430132,	4.1851,	0.499932,	1.58726
-0.437563,	4.21025,	0.499824,	1.59737
-0.442304,	4.23515,	0.499667,	1.60731
-0.449115,	4.26022,	0.499459,	1.61731
-0.453444,	4.28513,	0.499193,	1.62763
-0.459527,	4.3101,	0.498895,	1.6373
-0.463402,	4.33515,	0.498537,	1.6473
-0.468808,	4.36028,	0.498124,	1.65744
-0.472191,	4.38511,	0.497675,	1.66726
-0.47691,	4.41026,	0.497161,	1.67741
-0.479847,	4.43512,	0.496613,	1.68726
-0.48382,	4.46026,	0.495985,	1.6976
-0.486285,	4.48511,	0.495351,	1.70726
-0.489518,	4.51023,	0.494646,	1.71727
-0.491457,	4.53513,	0.493892,	1.72726
-0.493996,	4.56025,	0.493085,	1.7373
-0.495452,	4.58515,	0.492204,	1.74762
-0.49724,	4.61047,	0.49132,	1.7574
-0.498201,	4.63512,	0.490381,	1.76726
-0.499241,	4.66024,	0.489365,	1.77742
-0.499692,	4.68514,	0.488331,	1.78726
-0.499993,	4.71049,	0.487225,	1.79733
-0.499944,	4.73511,	0.486085,	1.80727
-0.499496,	4.76028,	0.484891,	1.81726
-0.498947,	4.78514,	0.483604,	1.8276
-0.497751,	4.81037,	0.482354,	1.83726
-0.496691,	4.83512,	0.480968,	1.84759
-0.494763,	4.86013,	0.479602,	1.85742
-0.493217,	4.88512,	0.478187,	1.86726
-0.490537,	4.91048,	0.476679,	1.87742
-0.488486,	4.93514,	0.475171,	1.88726
-0.485085,	4.96042,	0.473562,	1.89744
-0.482554,	4.98511,	0.471964,	1.90726
-0.478419,	5.01013,	0.47028,	1.91732
-0.475417,	5.03513,	0.468568,	1.92726
-0.470558,	5.06011,	0.4668,	1.93726
-0.467059,	5.08515,	0.464978,	1.9473
-0.461522,	5.11014,	0.463091,	1.95743
-0.457579,	5.13517,	0.461216,	1.96726
-0.451325,	5.16026,	0.459232,	1.97741
-0.446928,	5.18513,	0.457262,	1.98726
-0.440015,	5.21051,	0.455182,	1.99743
-0.43517,	5.23514,	0.453117,	2.0073
-0.427531,	5.2603,	0.450974,	2.01733
	,	,	0.448742,	2.02756
	,	,	0.446574,	2.03729
	,	,	0.44431,	2.04727
	,	,	0.441956,	2.05743
	,	,	0.439636,	2.06726
	,	,	0.43719,	2.07744
	,	,	0.434785,	2.08726
	,	,	0.432204,	2.09762
	,	,	0.429759,	2.10727
	,	,	0.427173,	2.1173
	,	,	0.424562,	2.12727
	,	,	0.421901,	2.13726
	,	,	0.419132,	2.1475
	,	,	0.416441,	2.1573
	,	,	0.41366,	2.16727
	,	,	0.41079,	2.17742
	,	,	0.40796,	2.18727
	,	,	0.405024,	2.19736
	,	,	0.402101,	2.20726
	,	,	0.399099,	2.2173
	,	,	0.396073,	2.22728
	,	,	0.392989,	2.23732
	,	,	0.389876,	2.24732
	,	,	0.386725,	2.25733
	,	,	0.383559,	2.26726
	,	,	0.380255,	2.27749
	,	,	0.377066,	2.28726
	,	,	0.373694,	2.29747
	,	,	0.370396,	2.30734
	,	,	0.367048,	2.31726
	,	,	0.363621,	2.3273
	,	,	0.360173,	2.33729
	,	,	0.356649,	2.3474
	,	,	0.353054,	2.35761
	,	,	0.349619,	2.36726
	,	,	0.345963,	2.37744
	,	,	0.342402,	2.38726
	,	,	0.338741,	2.39726
	,	,	0.335032,	2.4073
	,	,	0.331306,	2.41729
	,	,	0.327429,	2.4276
	,	,	0.323752,	2.43729
	,	,	0.319808,	2.44759
	,	,	0.316016,	2.45742
	,	,	0.312187,	2.46726
	,	,	0.308118,	2.47764
	,	,	0.304313,	2.48726
	,	,	0.300217,	2.49755
	,	,	0.29632,	2.50726
	,	,	0.292233,	2.51737
	,	,	0.28805,	2.52764
	,	,	0.28409,	2.5373
	,	,	0.279883,	2.54749
	,	,	0.275755,	2.55742
	,	,	0.271638,	2.56726
	,	,	0.267357,	2.57742
	,	,	0.263169,	2.58731
	,	,	0.258858,	2.59741
